id,conversation_id,text,date,Segment,WC,Clout,Authentic,Tone,WPS,BigWords,Drives,affiliation,achieve,power,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,health,illness,wellness,mental,death
1322305903824089090,1322232403209949184,@piersmorgan You paying for us all to lockdown @piersmorgan ??,2020-10-30T22:34:29.000Z,1,9,99,1,20.23,9,33.33,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322305889433505805,1322232403209949184,@and_laurence @KarenWitts2 @aname_1011 @piersmorgan Thanks for your well informed input.... helpful.,2020-10-30T22:34:25.000Z,1,13,98.04,2.93,99,6.5,38.46,0,0,0,0,23.08,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0
1322304642752094208,1322232403209949184,"@piersmorgan Get your mask on stop the spread, hows that one working out then?",2020-10-30T22:29:28.000Z,1,14,97.11,99,20.23,14,14.29,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322303955859316737,1322232403209949184,"@piersmorgan Sweden has local lockdowns in Uppsala, Stockholm, Götaland, Skåne etc. Why would covidiots go there?",2020-10-30T22:26:44.000Z,1,16,40.06,89.39,20.23,8,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322303120257462279,1322232403209949184,@piersmorgan No. We pay our taxes &amp; we deserve to be given honesty.,2020-10-30T22:23:25.000Z,1,13,99,1,99,6.5,23.08,23.08,23.08,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0
1322302979756740608,1322232403209949184,@piersmorgan No! Swedes dont want them here!! Swedes adhere to the science and guidelines from Folkhälsömyndigheten! Stay away! #socialconscience #forthegreatergood #SocialDistancing,2020-10-30T22:22:52.000Z,1,21,16.63,5.94,20.23,4.2,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322302900631162880,1322232403209949184,@piersmorgan @piersmorgan you can be such a cock at times!!! COVIDIOTS just because they dont share your views! Its easy for you with your millions banked to suggest us peasants just go with the flow and accept local and national lockdowns!!! Were worried about survival!!!!!!!,2020-10-30T22:22:33.000Z,1,45,99,4.71,54.76,11.25,24.44,6.67,4.44,0,2.22,8.89,4.44,2.22,2.22,0,2.22,2.22,0,0,2.22,0,0,0,0,0
1322302825205010432,1322232403209949184,@piersmorgan They don't want mask wearing covidiots. Please don't go Piers Moron.,2020-10-30T22:22:15.000Z,1,12,1,3.81,1,6,25,0,0,0,0,8.33,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0
1322302592916070403,1322232403209949184,@piersmorgan Sounds good to me.. This is a bar in Stockholm last Saturday night 24/10 We have WASTED 8 MONTHS listening to publicity-seeking clowns like YOU while Swedes built up widespread immunity amongst young healthy people using natural PRE-EXISTING T-cell immunity in the human body https://t.co/6twHD5Iqff,2020-10-30T22:21:20.000Z,1,51,88.96,73.43,20.23,25.5,25.49,1.96,1.96,0,0,3.92,1.96,1.96,3.92,1.96,1.96,0,0,0,0,5.88,0,1.96,0,0
1322302588335828994,1322232403209949184,"@piersmorgan Not a covid idiot Piers. Just want to know why, where I live Huntingdonshire, should go into full lockdown? 45 per 100000 - England average 149 80 CASES last week, DOWN 28 from previous week. Please explain.",2020-10-30T22:21:18.000Z,1,37,3.01,99,20.23,9.25,18.92,0,0,0,0,2.7,0,0,0,0,0,0,0,0,2.7,2.7,2.7,0,0,0
1322301853921673216,1322232403209949184,@KarenWitts2 @aname_1011 @piersmorgan @colonelcutshaw no wonder the nurses are being turned on when they tweet like this they need to follow u!,2020-10-30T22:18:23.000Z,1,23,99,4.38,20.23,23,13.04,4.35,0,0,4.35,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0
1322301620873515009,1322232403209949184,@piersmorgan Why dont you and lockdown freaks listen to Prof Gupta and others about the importance of looking after the vulnerable which is sadly still lacking and causing the rise . A lockdown will do nothing but cause more problems. You go to Sweden and see for yourself,2020-10-30T22:17:28.000Z,1,47,65.16,16.56,4.04,15.67,23.4,2.13,0,0,2.13,2.13,0,2.13,2.13,0,2.13,0,0,2.13,0,0,0,0,0,0
1322301433178476546,1322232403209949184,@piersmorgan No oooo UK will be better,2020-10-30T22:16:43.000Z,1,7,1,1,99,7,14.29,14.29,0,14.29,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0
1322301228525629440,1322232403209949184,@piersmorgan They cant...cos Brexit,2020-10-30T22:15:54.000Z,1,5,1,1,20.23,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322300867287154689,1322232403209949184,@piersmorgan You pretend to care about the vulnerable and elderly but in reality you dont. You only care about yourself. You cant catch cancer or heart disease or suicide so you dont give a fig about those deaths. You only care about covid because its something that could affect you.,2020-10-30T22:14:28.000Z,1,50,99,7.03,95.9,12.5,20,2,0,0,2,6,6,0,0,0,0,0,0,0,0,10,8,0,2,4
1322300469528723461,1322232403209949184,"@KarenWitts2 @aname_1011 @piersmorgan We don't need ""new restrictions"" for a virus which has a 99.95% survival rate Educate yourself - go back to medical school you'd learn that seasonal flu survival rate is 99.9% All those excess Cancer deaths, heart disease patients &amp; extra suicides are down to you, Boris &amp; Piers https://t.co/JD7FZ7fpAt",2020-10-30T22:12:53.000Z,1,57,94.48,14.46,5.65,57,22.81,3.51,1.75,0,1.75,5.26,1.75,3.51,1.75,0,1.75,0,0,0,0,14.04,8.77,0,1.75,3.51
1322300433692528640,1322232403209949184,"@piersmorgan Lets get one thing clear here as you seem confused. The covididiots are people like you who keep covid going because the rest of us who have studied and researched unlike you, know that its never been isolated. Only idiots believe it has hence covididiot",2020-10-30T22:12:45.000Z,1,46,99,74.45,20.23,15.33,19.57,4.35,4.35,0,0,6.52,2.17,2.17,2.17,0,2.17,0,0,0,2.17,2.17,2.17,0,0,0
1322300198085906433,1322232403209949184,@piersmorgan When are people going to realize that Covid will never go away regardless of countermeasures.,2020-10-30T22:11:49.000Z,1,16,11.66,99,20.23,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0
1322299448928722946,1322232403209949184,@piersmorgan When do you leave?,2020-10-30T22:08:50.000Z,1,5,99,99,20.23,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322299384491659264,1322232403209949184,@jeremy_hume @piersmorgan LOG CABINS.,2020-10-30T22:08:35.000Z,1,5,40.06,1,20.23,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322299322923388931,1322232403209949184,@piersmorgan Theyll need a visa now #Brexit,2020-10-30T22:08:20.000Z,1,7,97.11,1,20.23,7,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322299296419618816,1322232403209949184,@timmallet4 @AdamSpence108 @jeremy_hume @piersmorgan No reply from the morons. Dr Yeadon is a beast in this field and most Twitter fools cant bear to be faced with his reality based conclusions. Shame.,2020-10-30T22:08:14.000Z,1,33,5.27,1,1,11,18.18,0,0,0,0,9.09,0,9.09,3.03,0,3.03,0,0,0,3.03,0,0,0,0,0
1322299144644472839,1322232403209949184,"@KarenWitts2 @aname_1011 @piersmorgan Been on the front line disposing of NHS waste,COVID ppe, bedding , say what you want.,numbers down",2020-10-30T22:07:37.000Z,1,22,86.82,5.07,20.23,22,22.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,0
